City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Dzaoudzi,80.49,clear sky,-12.7887,45.2699,Le Rocher
7,Hobart,79.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
12,Guarapari,75.09,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
14,Butaritari,83.08,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
19,Acapulco,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
22,Rikitea,78.84,clear sky,-23.1203,-134.9692,People ThankYou
25,Kloulklubed,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
26,La Union,76.01,overcast clouds,-5.4,-80.75,Los Portales
28,New Norfolk,78.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
32,Vikindu,76.71,light rain,-7.0067,39.2985,RUTA GUEST HOUSE
34,Kudahuvadhoo,80.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
35,Hilo,77.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Arraial Do Cabo,75.07,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
42,Kapaa,80.19,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Mahebourg,76.24,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Tabou,78.06,clear sky,4.423,-7.3528,hotêl doufoulougou
46,Atuona,77.67,light rain,-9.8,-139.0333,Villa Enata
48,Kahului,80.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
49,Hithadhoo,81.19,scattered clouds,-0.6,73.0833,Scoop Guest House
51,Lorengau,82.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Avarua,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
70,Sola,78.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
73,Saint-Philippe,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Upata,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
