City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lavrentiya,65.5833,-171.0,-10.34,90,7,6.91,clear sky
1,Mar Del Plata,-38.0023,-57.5575,62.87,75,40,7.0,scattered clouds
2,Bandarbeyla,9.4942,50.8122,74.19,73,100,11.95,overcast clouds
3,Vaini,-21.2,-175.2,87.96,79,20,10.36,few clouds
4,Chokurdakh,70.6333,147.9167,-2.51,96,100,12.08,overcast clouds
5,Codrington,-38.2667,141.9667,85.75,25,100,14.05,overcast clouds
6,Dzaoudzi,-12.7887,45.2699,80.49,83,0,8.05,clear sky
7,Hobart,-42.8794,147.3294,79.02,44,75,19.57,broken clouds
8,Naze,28.3667,129.4833,64.92,83,100,12.82,overcast clouds
9,Wonthaggi,-38.6044,145.5913,87.94,46,3,14.67,clear sky
10,Yar-Sale,66.8333,70.8333,-9.72,94,70,15.95,broken clouds
11,Busselton,-33.65,115.3333,70.05,50,0,10.92,clear sky
12,Guarapari,-20.6667,-40.4975,75.09,87,100,2.62,overcast clouds
13,Chunoyar,57.4467,97.3217,-14.67,99,12,4.88,few clouds
14,Butaritari,3.0707,172.7902,83.08,70,100,14.05,overcast clouds
15,Angoche,-16.2325,39.9086,74.88,96,100,6.85,light rain
16,Ribeira Grande,38.5167,-28.7,61.57,90,100,15.39,overcast clouds
17,Victoria,22.2855,114.1577,64.94,91,100,5.99,overcast clouds
18,Ercis,39.0287,43.3586,17.2,64,25,4.81,scattered clouds
19,Acapulco,16.8634,-99.8901,80.42,65,75,6.91,broken clouds
20,Nhulunbuy,-12.2333,136.7667,88.41,62,40,10.36,scattered clouds
21,Menomonie,44.8755,-91.9193,5.38,55,100,0.0,overcast clouds
22,Rikitea,-23.1203,-134.9692,78.84,71,0,16.82,clear sky
23,Simpang,-1.2667,104.0833,77.32,91,100,1.7,overcast clouds
24,San Cristobal,7.7669,-72.225,71.78,66,63,1.57,broken clouds
25,Kloulklubed,7.0419,134.2556,84.7,78,100,19.69,overcast clouds
26,La Union,-5.4,-80.75,76.01,63,100,11.81,overcast clouds
27,Ushuaia,-54.8,-68.3,46.06,61,75,11.5,broken clouds
28,New Norfolk,-42.7826,147.0587,78.66,36,100,4.0,overcast clouds
29,Bethel,41.3712,-73.414,48.78,60,0,5.01,clear sky
30,Pavlodar,52.3,76.95,4.8,85,75,11.18,broken clouds
31,Inuvik,68.3499,-133.7218,-24.84,68,40,3.44,scattered clouds
32,Vikindu,-7.0067,39.2985,76.71,83,100,4.03,light rain
33,Port Hawkesbury,45.6169,-61.3485,43.97,94,19,5.99,few clouds
34,Kudahuvadhoo,2.6708,72.8944,80.8,74,100,6.29,overcast clouds
35,Hilo,19.7297,-155.09,77.25,85,31,4.0,scattered clouds
36,Esperance,-33.8667,121.9,65.86,57,29,8.84,scattered clouds
37,Longyearbyen,78.2186,15.6401,10.24,72,0,10.36,clear sky
38,Porbandar,21.6422,69.6093,66.4,46,5,7.11,clear sky
39,Punta Arenas,-53.15,-70.9167,50.11,71,0,6.91,clear sky
40,Zhanaozen,43.3,52.8,36.68,88,57,9.26,broken clouds
41,Arraial Do Cabo,-22.9661,-42.0278,75.07,84,26,4.83,scattered clouds
42,Kapaa,22.0752,-159.319,80.19,67,75,10.36,broken clouds
43,Mahebourg,-20.4081,57.7,76.24,84,10,13.89,moderate rain
44,Yellowknife,62.456,-114.3525,-10.59,85,100,10.0,overcast clouds
45,Tabou,4.423,-7.3528,78.06,87,7,5.75,clear sky
46,Atuona,-9.8,-139.0333,77.67,77,14,12.33,light rain
47,Bluff,-46.6,168.3333,53.8,76,100,14.85,overcast clouds
48,Kahului,20.8947,-156.47,80.96,64,20,16.11,few clouds
49,Hithadhoo,-0.6,73.0833,81.19,70,43,11.23,scattered clouds
50,Hermanus,-34.4187,19.2345,69.8,80,87,5.82,overcast clouds
51,Lorengau,-2.0226,147.2712,82.58,76,100,1.14,overcast clouds
52,Haines Junction,60.7522,-137.5108,27.27,94,10,4.85,clear sky
53,Guerrero Negro,27.9769,-114.0611,70.63,37,100,7.67,overcast clouds
54,Racaciuni,46.3333,26.9833,30.07,79,7,3.04,clear sky
55,Nikolskoye,59.7035,30.7861,36.72,98,100,9.73,light snow
56,Gunjur,13.2019,-16.7339,69.87,40,0,9.22,clear sky
57,Avera,33.194,-82.5271,60.71,60,100,6.76,overcast clouds
58,Katsuura,35.1333,140.3,45.1,63,100,3.0,light rain
59,Thaton,16.9206,97.3714,67.46,57,26,3.51,scattered clouds
60,Svetlyy,54.675,20.1347,30.25,67,59,16.8,broken clouds
61,Jamestown,42.097,-79.2353,20.3,51,100,8.05,overcast clouds
62,Severo-Kurilsk,50.6789,156.125,24.82,74,77,7.31,broken clouds
63,Avarua,-21.2078,-159.775,78.85,73,75,4.61,broken clouds
64,Nome,64.5011,-165.4064,-2.13,55,0,0.0,clear sky
65,Krasnoselkup,65.7,82.4667,-8.09,87,5,12.24,clear sky
66,Ust-Tsilma,65.441,52.1498,11.77,96,100,4.68,overcast clouds
67,Gawler,-34.6,138.7333,94.82,19,100,9.24,overcast clouds
68,Sloboda,51.1421,40.3021,12.79,96,6,7.45,clear sky
69,Mataura,-46.1927,168.8643,53.47,95,100,4.16,overcast clouds
70,Sola,-13.8833,167.55,78.62,81,100,12.73,overcast clouds
71,Vilyuysk,63.7553,121.6247,-24.77,100,100,3.27,overcast clouds
72,Kaka,37.3482,59.6143,42.66,84,97,5.61,overcast clouds
73,Saint-Philippe,-21.3585,55.7679,78.35,84,2,9.08,light rain
74,Upernavik,72.7868,-56.1549,2.55,86,100,36.93,overcast clouds
75,Rokytne,51.2796,27.214,26.56,84,23,6.31,few clouds
76,Kodiak,57.79,-152.4072,38.71,65,100,6.91,overcast clouds
77,Kruisfontein,-34.0033,24.7314,69.76,94,100,8.7,overcast clouds
78,Barrow,71.2906,-156.7887,-32.78,98,20,8.05,few clouds
79,Brae,60.3964,-1.353,44.51,89,100,22.97,overcast clouds
80,Tura,25.5198,90.2201,53.13,78,0,4.21,clear sky
81,Tasiilaq,65.6145,-37.6368,10.56,66,100,5.28,overcast clouds
82,Mocuba,-16.8392,36.9856,71.1,99,100,3.38,overcast clouds
83,Moissac,44.1024,1.0945,49.15,92,34,7.83,scattered clouds
84,Maniitsoq,65.4167,-52.9,11.26,92,100,1.97,light snow
85,Upata,8.0086,-62.3989,75.2,72,91,7.11,overcast clouds
86,Mitsamiouli,-11.3847,43.2844,80.15,77,97,8.81,light rain
87,Goroka,-6.0834,145.3873,75.24,58,42,1.52,scattered clouds
88,Tres Arroyos,-38.3739,-60.2798,54.52,59,0,7.65,clear sky
89,Namibe,-15.1961,12.1522,74.34,80,100,2.13,overcast clouds
90,Vung Tau,10.346,107.0843,80.08,76,18,17.49,few clouds
91,Groningen,53.25,6.75,37.42,73,19,14.97,few clouds
92,Barcelona,41.3888,2.159,53.8,89,40,3.44,scattered clouds
93,Victor Harbor,-35.5667,138.6167,92.46,32,100,5.99,overcast clouds
94,Bambanglipuro,-7.95,110.2833,65.61,82,100,4.81,heavy intensity rain
95,Pafos,34.7667,32.4167,48.11,87,0,8.05,clear sky
96,Amurzet,47.6967,131.0981,7.14,83,100,8.66,overcast clouds
97,Znamenskoye,57.1281,73.8282,0.41,95,100,7.14,overcast clouds
98,Rocha,-34.4833,-54.3333,64.98,91,100,15.03,overcast clouds
99,Perth,-31.9333,115.8333,78.04,61,20,17.27,few clouds
100,Metro,-5.1131,105.3067,77.23,85,99,3.56,overcast clouds
101,Comodoro Rivadavia,-45.8667,-67.5,73.26,43,0,3.44,clear sky
102,Vallenar,-28.5708,-70.7581,68.36,54,0,3.62,clear sky
103,Carnarvon,-24.8667,113.6333,89.67,55,100,6.91,overcast clouds
104,Lagoa,39.05,-27.9833,60.75,92,100,21.03,overcast clouds
105,Chapleau,47.8405,-83.4034,-18.04,97,100,0.76,overcast clouds
106,Coihaique,-45.5752,-72.0662,68.61,60,41,5.75,scattered clouds
107,Gualaquiza,-3.4,-78.55,63.9,99,100,1.72,moderate rain
108,Ostrovnoy,68.0531,39.5131,4.57,96,83,3.96,broken clouds
109,Lompoc,34.6391,-120.4579,80.74,43,0,5.75,clear sky
110,Labuhan,-6.8844,112.2051,79.81,82,100,8.39,overcast clouds
111,Tezu,27.9167,96.1667,51.76,53,0,4.12,clear sky
112,Colac,-38.3333,143.5833,86.02,33,100,16.06,overcast clouds
113,Shenkursk,62.1091,42.896,11.97,97,100,4.16,overcast clouds
114,Abalak,58.1286,68.5944,2.07,96,100,3.24,overcast clouds
115,San Nicolas,18.1725,120.5953,84.94,62,35,2.35,scattered clouds
116,Yelan-Kolenovskiy,51.1632,41.151,14.0,96,8,8.37,clear sky
117,Alofi,-19.0595,-169.9187,81.37,75,100,17.2,light rain
118,Taft,31.7471,54.2088,39.22,90,100,8.25,overcast clouds
119,Uribia,11.7139,-72.266,77.68,74,7,20.56,clear sky
120,Chapais,49.7834,-74.8492,-26.7,100,57,3.74,broken clouds
121,Castro,-24.7911,-50.0119,61.39,80,0,5.7,clear sky
122,Duku,11.2361,4.9073,75.78,12,35,7.78,scattered clouds
123,Ponta Do Sol,32.6667,-17.1,63.23,69,0,4.45,clear sky
124,Albany,42.6001,-73.9662,32.58,67,91,1.99,overcast clouds
125,Coahuayana,18.7333,-103.6833,89.08,61,54,2.59,broken clouds
126,Ketou,7.3633,2.5998,78.87,77,73,4.0,broken clouds
127,Talnakh,69.4865,88.3972,-8.52,75,15,9.75,few clouds
